dataset,q_type,n,fuzzy_avg,judge_avg
Claude Haiku t200,cohort,58,0.5505747126436782,0.45689655172413796
Claude Haiku t200,multi-hop,63,0.5827664399092971,0.5952380952380952
Claude Haiku t200,reasoning,64,0.5003077325633725,0.71875
Claude Haiku t200,simple-lookup,83,0.8534136546184738,0.8674698795180723
Claude Haiku t200,temporal,83,0.6167663661639565,0.6867469879518072
Claude Haiku t200,unanswerable,58,0.6379310344827587,0.6982758620689655
Claude Haiku t2000,cohort,51,0.6163398692810458,0.5490196078431373
Claude Haiku t2000,multi-hop,68,0.6155462184873949,0.6176470588235294
Claude Haiku t2000,reasoning,72,0.4960191974175042,0.6041666666666666
Claude Haiku t2000,simple-lookup,72,0.8754629629629629,0.8541666666666666
Claude Haiku t2000,temporal,72,0.642205710955711,0.6597222222222222
Claude Haiku t2000,unanswerable,67,0.6417910447761194,0.6865671641791045
Claude Haiku t20000,cohort,49,0.5255102040816326,0.5408163265306123
Claude Haiku t20000,multi-hop,61,0.6639344262295082,0.6721311475409836
Claude Haiku t20000,reasoning,65,0.46345930280813846,0.6461538461538462
Claude Haiku t20000,simple-lookup,60,0.8422222222222222,0.8666666666666667
Claude Haiku t20000,temporal,55,0.6087921169739352,0.5454545454545454
Claude Haiku t20000,unanswerable,52,0.6538461538461539,0.7307692307692307
Llama 8B t200,cohort,51,0.38235294117647056,0.23529411764705882
Llama 8B t200,multi-hop,68,0.08088235294117647,0.03676470588235294
Llama 8B t200,reasoning,72,0.20311482838537567,0.25
Llama 8B t200,simple-lookup,72,0.4405092592592592,0.4305555555555556
Llama 8B t200,temporal,72,0.17790404040404043,0.125
Llama 8B t200,unanswerable,68,0.47794117647058826,0.4852941176470588
Qwen 72B t200,cohort,51,0.4274509803921569,0.4215686274509804
Qwen 72B t200,multi-hop,70,0.40714285714285714,0.39285714285714285
Qwen 72B t200,reasoning,74,0.3212788327238455,0.6351351351351351
Qwen 72B t200,simple-lookup,76,0.8300438596491229,0.8552631578947368
Qwen 72B t200,temporal,76,0.44570758189179244,0.5592105263157895
Qwen 72B t200,unanswerable,65,0.4461538461538462,0.5
Qwen 72B t2000,cohort,49,0.48265306122448975,0.45918367346938777
Qwen 72B t2000,multi-hop,65,0.4054945054945055,0.4153846153846154
Qwen 72B t2000,reasoning,71,0.3129142927140023,0.647887323943662
Qwen 72B t2000,simple-lookup,71,0.813849765258216,0.8661971830985915
Qwen 72B t2000,temporal,70,0.42900099900099903,0.6071428571428571
Qwen 72B t2000,unanswerable,65,0.4076923076923077,0.5230769230769231
Qwen 72B t20000,cohort,46,0.425,
Qwen 72B t20000,multi-hop,66,0.3642857142857143,
Qwen 72B t20000,reasoning,63,0.28370273442032123,
Qwen 72B t20000,simple-lookup,61,0.8087431693989071,
Qwen 72B t20000,temporal,62,0.48109068351003836,
Qwen 72B t20000,unanswerable,53,0.5377358490566038,
