system,q_type,n,judge_avg
graph,cohort,102,0.7156862745098039
graph,multi-hop,102,0.5441176470588235
graph,reasoning,107,0.514018691588785
graph,simple-lookup,112,0.8169642857142857
graph,temporal,112,0.5803571428571429
graph,unanswerable,100,0.565
llm-only,cohort,16,0.0625
llm-only,multi-hop,102,0.30392156862745096
llm-only,reasoning,107,0.5420560747663551
llm-only,simple-lookup,112,0.6428571428571429
llm-only,temporal,112,0.48660714285714285
llm-only,unanswerable,100,0.575
sql-fts,cohort,102,0.06372549019607843
sql-fts,multi-hop,102,0.25980392156862747
sql-fts,reasoning,107,0.5887850467289719
sql-fts,simple-lookup,112,0.7857142857142857
sql-fts,temporal,112,0.35267857142857145
sql-fts,unanswerable,100,0.565
sql-t2s,cohort,102,0.553921568627451
sql-t2s,multi-hop,102,0.6323529411764706
sql-t2s,reasoning,107,0.6214953271028038
sql-t2s,simple-lookup,112,0.8169642857142857
sql-t2s,temporal,112,0.6205357142857143
sql-t2s,unanswerable,100,0.535
