model,tier,sys_a,sys_b,mean_a,mean_b,diff,n,wilcoxon,p,p_bonf,cliff_delta
claude-haiku-4-5,200,graph,graph-cypher,0.7964601769911505,0.8296460176991151,-0.0331858407079646,226,5706.0,0.15526737484856087,1.0,-0.03512412874931475
claude-haiku-4-5,200,graph,llm-only,0.7964601769911505,0.665929203539823,0.13053097345132747,226,5528.0,0.0007243105692840592,0.007243105692840592,0.15756911269480775
claude-haiku-4-5,200,graph,sql-fts,0.7964601769911505,0.5796460176991151,0.2168141592920354,226,4245.5,4.2590279267189435e-08,4.2590279267189437e-07,0.24731772260944476
claude-haiku-4-5,200,graph,sql-t2s,0.7964601769911505,0.8738938053097345,-0.07743362831858402,226,2560.5,0.00035877678014794223,0.0035877678014794223,-0.09507400736157882
claude-haiku-4-5,200,graph-cypher,llm-only,0.8296460176991151,0.665929203539823,0.16371681415929207,226,4469.5,4.566334382660029e-06,4.566334382660029e-05,0.19486647349048478
claude-haiku-4-5,200,graph-cypher,sql-fts,0.8296460176991151,0.5796460176991151,0.25,226,3423.5,2.967547638432711e-11,2.967547638432711e-10,0.2844388754013627
claude-haiku-4-5,200,graph-cypher,sql-t2s,0.8296460176991151,0.8738938053097345,-0.04424778761061943,226,4466.5,0.03863445395498538,0.3863445395498538,-0.061418278643589945
claude-haiku-4-5,200,llm-only,sql-fts,0.665929203539823,0.5796460176991151,0.08628318584070793,226,2777.0,9.079708327167762e-05,0.0009079708327167762,0.09609209804996476
claude-haiku-4-5,200,llm-only,sql-t2s,0.665929203539823,0.8738938053097345,-0.2079646017699115,226,2065.0,1.912181213153412e-10,1.912181213153412e-09,-0.25193828804135016
claude-haiku-4-5,200,sql-fts,sql-t2s,0.5796460176991151,0.8738938053097345,-0.2942477876106194,226,1540.0,2.978888840083296e-16,2.9788888400832962e-15,-0.3374579058657687
claude-haiku-4-5,2000,graph,graph-cypher,0.7846441947565543,0.8183520599250936,-0.0337078651685393,267,5670.0,0.07482789300965273,0.7482789300965274,-0.03562962027802326
claude-haiku-4-5,2000,graph,llm-only,0.7846441947565543,0.6367041198501873,0.14794007490636707,267,6287.0,3.692787835656459e-06,3.692787835656459e-05,0.18894920674998947
claude-haiku-4-5,2000,graph,sql-fts,0.7846441947565543,0.5374531835205992,0.2471910112359551,267,4744.5,2.1465658787362393e-13,2.1465658787362394e-12,0.29468782000028054
claude-haiku-4-5,2000,graph,sql-t2s,0.7846441947565543,0.8333333333333334,-0.048689138576779034,267,5604.0,0.025369748403319854,0.25369748403319853,-0.05975676471825948
claude-haiku-4-5,2000,graph-cypher,llm-only,0.8183520599250936,0.6367041198501873,0.18164794007490637,267,4154.0,1.734125759165461e-09,1.734125759165461e-08,0.22843636465653888
claude-haiku-4-5,2000,graph-cypher,sql-fts,0.8183520599250936,0.5374531835205992,0.2808988764044944,267,3059.0,2.6688956263904923e-17,2.668895626390492e-16,0.3342731697737379
claude-haiku-4-5,2000,graph-cypher,sql-t2s,0.8183520599250936,0.8333333333333334,-0.014981273408239737,267,4429.0,0.4226545086159895,1.0,-0.025109063109315603
claude-haiku-4-5,2000,llm-only,sql-fts,0.6367041198501873,0.5374531835205992,0.09925093632958804,267,3280.5,9.340879016945349e-07,9.340879016945348e-06,0.11666596529618875
claude-haiku-4-5,2000,llm-only,sql-t2s,0.6367041198501873,0.8333333333333334,-0.1966292134831461,267,3308.0,5.247990455060765e-11,5.247990455060765e-10,-0.24996843832849389
claude-haiku-4-5,2000,sql-fts,sql-t2s,0.5374531835205992,0.8333333333333334,-0.29588014981273414,267,2637.0,1.6502569315934592e-18,1.650256931593459e-17,-0.3529576793053627
claude-haiku-4-5,20000,graph,graph-cypher,0.7692307692307693,0.8671328671328671,-0.0979020979020978,143,1084.5,0.002698866917127989,0.02698866917127989,-0.10440608342706245
