model,sys_a,sys_b,n,diff,cliffs_delta,p_bonf
claude-haiku-4-5,graph,graph-cypher,636,-0.04795597484276737,-0.050794074601479375,0.007081332122222622
claude-haiku-4-5,graph,llm-only,636,0.14229559748427667,0.17655057157549148,1.4171334648477583e-09
claude-haiku-4-5,graph,sql-fts,636,0.22877358490566035,0.2705885843123294,3.2335894655196193e-23
claude-haiku-4-5,graph,sql-t2s,636,-0.0691823899371069,-0.08438402357501681,4.1299243720937224e-06
claude-haiku-4-5,graph-cypher,llm-only,636,0.19025157232704404,0.23168585103437364,8.883753650316694e-19
claude-haiku-4-5,graph-cypher,sql-fts,636,0.2767295597484277,0.3261342510185515,5.968365702797182e-35
claude-haiku-4-5,graph-cypher,sql-t2s,636,-0.021226415094339535,-0.03545646928523397,0.4297146132455919
claude-haiku-4-5,llm-only,sql-fts,636,0.08647798742138368,0.10064870851627705,3.1967642096964945e-10
claude-haiku-4-5,llm-only,sql-t2s,636,-0.21147798742138357,-0.26165895336418654,5.13410303767771e-25
claude-haiku-4-5,sql-fts,sql-t2s,636,-0.29795597484276726,-0.3529231438629801,4.403703097497248e-42
llama-3.1-8b,graph,graph-cypher,681,0.02643171806167402,0.0443310239541488,0.09798341958049205
llama-3.1-8b,graph,llm-only,681,-0.44640234948604995,-0.5751647939348069,1.7410626259852798e-68
llama-3.1-8b,graph,sql-fts,681,-0.5293685756240822,-0.6442456351439643,5.424578945307413e-78
llama-3.1-8b,graph,sql-t2s,681,-0.0007342143906020615,0.010768477728830151,1.0
llama-3.1-8b,graph-cypher,llm-only,681,-0.47283406754772395,-0.6061182376267086,8.264090565182338e-73
llama-3.1-8b,graph-cypher,sql-fts,681,-0.5558002936857562,-0.6697975897067671,1.5436912581281306e-82
llama-3.1-8b,graph-cypher,sql-t2s,681,-0.02716593245227608,-0.03263750078165262,0.7596301011896169
llama-3.1-8b,llm-only,sql-fts,681,-0.08296622613803228,-0.11831525289966167,5.371343096903384e-06
llama-3.1-8b,llm-only,sql-t2s,681,0.4456681350954479,0.5706818814001178,6.059769312967825e-69
llama-3.1-8b,sql-fts,sql-t2s,681,0.5286343612334802,0.6370091491091316,9.401956652372945e-78
qwen-2.5-72b,graph,graph-cypher,586,0.011945392491467532,0.018695616722384654,1.0
qwen-2.5-72b,graph,llm-only,586,-0.06399317406143346,-0.07036191452433925,0.02872111351437872
qwen-2.5-72b,graph,sql-fts,586,-0.017064846416382284,-0.015166163845822317,1.0
qwen-2.5-72b,graph,sql-t2s,586,-0.16040955631399323,-0.1847196822327575,1.7393690675277471e-10
qwen-2.5-72b,graph-cypher,llm-only,586,-0.07593856655290099,-0.09340236927628744,0.005945299541689216
qwen-2.5-72b,graph-cypher,sql-fts,586,-0.029010238907849817,-0.03554496849118802,1.0
qwen-2.5-72b,graph-cypher,sql-t2s,586,-0.17235494880546076,-0.21308926137753498,4.2321613490516396e-15
qwen-2.5-72b,llm-only,sql-fts,586,0.04692832764505117,0.05800591736653892,0.04598136728731242
qwen-2.5-72b,llm-only,sql-t2s,586,-0.09641638225255977,-0.12087793684259572,0.00022763490019408442
qwen-2.5-72b,sql-fts,sql-t2s,586,-0.14334470989761094,-0.178336381320691,3.4347042456709964e-09
