cutoff,model,tier,n_questions,n_systems,Q,df,p,pct_correct[graph],pct_correct[graph-cypher],pct_correct[llm-only],pct_correct[sql-fts],pct_correct[sql-t2s]
strict,claude-haiku-4-5,200,226,5,82.1624649859944,4,6.063674352807963e-17,0.7079646017699115,0.7345132743362832,0.5707964601769911,0.504424778761062,0.7920353982300885
strict,claude-haiku-4-5,2000,267,5,137.1595744680851,4,1.144616311417235e-28,0.6928838951310862,0.7191011235955056,0.5205992509363296,0.4419475655430712,0.7453183520599251
strict,claude-haiku-4-5,20000,143,5,74.47863247863248,4,2.5685058868073217e-15,0.6783216783216783,0.7552447552447552,0.5174825174825175,0.44755244755244755,0.7762237762237763
strict,llama-3.1-8b,200,266,5,388.75409836065575,4,7.481586102611594e-83,0.06390977443609022,0.06390977443609022,0.4548872180451128,0.6127819548872181,0.09022556390977443
strict,llama-3.1-8b,2000,255,5,198.65494505494505,4,7.312176259001171e-42,0.1607843137254902,0.16470588235294117,0.4549019607843137,0.5450980392156862,0.16862745098039217
strict,llama-3.1-8b,20000,160,5,134.0734693877551,4,5.23672176587851e-28,0.08125,0.05625,0.35625,0.44375,0.1
strict,qwen-2.5-72b,200,214,5,31.653116531165313,4,2.2522073498982184e-06,0.45794392523364486,0.4485981308411215,0.5093457943925234,0.4485981308411215,0.6355140186915887
strict,qwen-2.5-72b,2000,227,5,16.587064676616915,4,0.002324585285737516,0.5242290748898678,0.4977973568281938,0.5506607929515418,0.5198237885462555,0.6431718061674009
strict,qwen-2.5-72b,20000,145,5,23.862068965517242,4,8.512376626847304e-05,0.5172413793103449,0.4068965517241379,0.5517241379310345,0.4896551724137931,0.6551724137931034
lenient,claude-haiku-4-5,200,226,5,137.0212765957447,4,1.2253470571761307e-28,0.8849557522123894,0.9247787610619469,0.7610619469026548,0.6548672566371682,0.9557522123893806
lenient,claude-haiku-4-5,2000,267,5,149.96632996632997,4,2.06986772034344e-31,0.8764044943820225,0.9176029962546817,0.7528089887640449,0.6329588014981273,0.9213483146067416
lenient,claude-haiku-4-5,20000,143,5,102.41558441558442,4,3.0093572111487595e-21,0.8601398601398601,0.9790209790209791,0.7202797202797203,0.6643356643356644,0.951048951048951
lenient,llama-3.1-8b,200,266,5,583.5516224188791,4,5.622253608612488e-125,0.13157894736842105,0.10902255639097744,0.7857142857142857,0.8308270676691729,0.13909774436090225
lenient,llama-3.1-8b,2000,255,5,366.34375,4,5.18428367288439e-78,0.28627450980392155,0.24313725490196078,0.7764705882352941,0.8431372549019608,0.2627450980392157
lenient,llama-3.1-8b,20000,160,5,287.4373401534527,4,5.5500794741646305e-61,0.21875,0.11875,0.75625,0.7875,0.175
lenient,qwen-2.5-72b,200,214,5,26.749262536873157,4,2.233922774970011e-05,0.6495327102803738,0.6869158878504673,0.719626168224299,0.6822429906542056,0.8317757009345794
lenient,qwen-2.5-72b,2000,227,5,37.29855072463768,4,1.5633965796519294e-07,0.6740088105726872,0.6960352422907489,0.788546255506608,0.7048458149779736,0.8634361233480177
lenient,qwen-2.5-72b,20000,145,5,15.728,4,0.003406731778498795,0.6758620689655173,0.6551724137931034,0.7586206896551724,0.7655172413793103,0.8206896551724138
