cutoff,model,tier,sys_a,sys_b,n_questions,a_only_right,b_only_right,both_right,both_wrong,diff_pct,statistic,p,p_bonf
strict,claude-haiku-4-5,200,graph,graph-cypher,226,27,33,133,33,-0.026548672566371723,0.4166666666666667,0.5186050164287255,1.0
strict,claude-haiku-4-5,200,graph,llm-only,226,58,27,102,39,0.13716814159292035,10.588235294117647,0.001138095584674928,0.01138095584674928
strict,claude-haiku-4-5,200,graph,sql-fts,226,68,22,92,44,0.20353982300884954,22.5,2.101435956012442e-06,2.101435956012442e-05
strict,claude-haiku-4-5,200,graph,sql-t2s,226,13,32,147,34,-0.08407079646017701,7.2,0.007290358091535637,0.07290358091535637
strict,claude-haiku-4-5,200,graph-cypher,llm-only,226,63,26,103,34,0.16371681415929207,14.561797752808989,0.00013563669654457556,0.0013563669654457556
strict,claude-haiku-4-5,200,graph-cypher,sql-fts,226,73,21,93,39,0.23008849557522126,27.670212765957448,1.438609605818077e-07,1.438609605818077e-06
strict,claude-haiku-4-5,200,graph-cypher,sql-t2s,226,21,34,145,26,-0.05752212389380529,2.618181818181818,0.10564542920187715,1.0
strict,claude-haiku-4-5,200,llm-only,sql-fts,226,27,12,102,85,0.0663716814159292,5.0256410256410255,0.02497467929305425,0.2497467929305425
strict,claude-haiku-4-5,200,llm-only,sql-t2s,226,11,61,118,36,-0.22123893805309736,33.34722222222222,7.70878497625124e-09,7.70878497625124e-08
strict,claude-haiku-4-5,200,sql-fts,sql-t2s,226,10,75,104,37,-0.28761061946902655,48.188235294117646,3.872045432093732e-12,3.872045432093732e-11
strict,claude-haiku-4-5,2000,graph,graph-cypher,267,23,30,162,52,-0.02621722846441943,0.6792452830188679,0.40984672936846356,1.0
strict,claude-haiku-4-5,2000,graph,llm-only,267,68,22,117,60,0.17228464419475653,22.5,2.101435956012442e-06,2.101435956012442e-05
strict,claude-haiku-4-5,2000,graph,sql-fts,267,86,19,99,63,0.250936329588015,41.48571428571429,1.1873543150361532e-10,1.187354315036153e-09
strict,claude-haiku-4-5,2000,graph,sql-t2s,267,21,35,164,47,-0.05243445692883897,3.017857142857143,0.08235221505280671,0.8235221505280671
strict,claude-haiku-4-5,2000,graph-cypher,llm-only,267,69,16,123,59,0.19850187265917596,31.811764705882354,1.6986074659703655e-08,1.6986074659703654e-07
strict,claude-haiku-4-5,2000,graph-cypher,sql-fts,267,88,14,104,61,0.2771535580524344,52.245098039215684,4.898807350741115e-13,4.8988073507411145e-12
strict,claude-haiku-4-5,2000,graph-cypher,sql-t2s,267,12,19,180,56,-0.02621722846441954,1.1612903225806452,0.2811980995641761,1.0
strict,claude-haiku-4-5,2000,llm-only,sql-fts,267,31,10,108,118,0.07865168539325845,9.75609756097561,0.0017872890369872707,0.017872890369872708
strict,claude-haiku-4-5,2000,llm-only,sql-t2s,267,12,72,127,56,-0.2247191011235955,41.44047619047619,1.2151512240334162e-10,1.2151512240334162e-09
strict,claude-haiku-4-5,2000,sql-fts,sql-t2s,267,12,93,106,56,-0.30337078651685395,60.95238095238095,5.847217322960193e-15,5.847217322960193e-14
strict,claude-haiku-4-5,20000,graph,graph-cypher,143,9,20,88,26,-0.07692307692307687,3.4482758620689653,0.06331778683004557,0.6331778683004557
strict,claude-haiku-4-5,20000,graph,llm-only,143,43,20,54,26,0.16083916083916083,7.682539682539683,0.005575764332991254,0.05575764332991254
strict,claude-haiku-4-5,20000,graph,sql-fts,143,47,14,50,32,0.23076923076923078,16.78688524590164,4.182134200161696e-05,0.0004182134200161696
strict,claude-haiku-4-5,20000,graph,sql-t2s,143,7,21,90,25,-0.09790209790209792,6.035714285714286,0.014019277113959954,0.14019277113959955
strict,claude-haiku-4-5,20000,graph-cypher,llm-only,143,46,12,62,23,0.2377622377622377,18.775862068965516,1.4701607930829403e-05,0.000147016079308294
strict,claude-haiku-4-5,20000,graph-cypher,sql-fts,143,52,8,56,27,0.30769230769230765,30.816666666666666,2.8359172113309488e-08,2.835917211330949e-07
strict,claude-haiku-4-5,20000,graph-cypher,sql-t2s,143,11,14,97,21,-0.020979020979021046,0.16,0.6891565167793516,1.0
strict,claude-haiku-4-5,20000,llm-only,sql-fts,143,20,10,54,59,0.06993006993006995,2.7,0.10034824646229089,1.0
strict,claude-haiku-4-5,20000,llm-only,sql-t2s,143,11,48,63,21,-0.25874125874125875,21.966101694915253,2.7750883948169247e-06,2.7750883948169246e-05
strict,claude-haiku-4-5,20000,sql-fts,sql-t2s,143,4,51,60,28,-0.3286713286713287,38.472727272727276,5.552419959809941e-10,5.552419959809941e-09
strict,llama-3.1-8b,200,graph,graph-cypher,266,12,12,5,237,0.0,12.0,1.0,1.0
strict,llama-3.1-8b,200,graph,llm-only,266,6,110,11,139,-0.39097744360902253,91.45689655172414,1.1404959724299155e-21,1.1404959724299155e-20
strict,llama-3.1-8b,200,graph,sql-fts,266,5,151,12,98,-0.5488721804511278,134.77564102564102,3.696673584607807e-31,3.6966735846078066e-30
strict,llama-3.1-8b,200,graph,sql-t2s,266,7,14,10,235,-0.02631578947368421,7.0,0.18924713134765625,1.0
strict,llama-3.1-8b,200,graph-cypher,llm-only,266,6,110,11,139,-0.39097744360902253,91.45689655172414,1.1404959724299155e-21,1.1404959724299155e-20
strict,llama-3.1-8b,200,graph-cypher,sql-fts,266,7,153,10,96,-0.5488721804511278,131.40625,2.0178230563694913e-30,2.0178230563694912e-29
strict,llama-3.1-8b,200,graph-cypher,sql-t2s,266,8,15,9,234,-0.02631578947368421,8.0,0.21003961563110352,1.0
strict,llama-3.1-8b,200,llm-only,sql-fts,266,25,67,96,78,-0.1578947368421053,18.27173913043478,1.9152760115805295e-05,0.00019152760115805295
strict,llama-3.1-8b,200,llm-only,sql-t2s,266,105,8,16,137,0.36466165413533835,81.5575221238938,1.702339861714109e-19,1.702339861714109e-18
strict,llama-3.1-8b,200,sql-fts,sql-t2s,266,147,8,16,95,0.5225563909774437,122.86451612903225,1.4930370508031144e-28,1.4930370508031144e-27
strict,llama-3.1-8b,2000,graph,graph-cypher,255,22,23,19,191,-0.0039215686274509665,0.0,1.0,1.0
strict,llama-3.1-8b,2000,graph,llm-only,255,19,94,22,120,-0.2941176470588235,48.46017699115044,3.3706455319901756e-12,3.370645531990176e-11
strict,llama-3.1-8b,2000,graph,sql-fts,255,16,114,25,100,-0.38431372549019605,72.37692307692308,1.7778076550699603e-17,1.7778076550699603e-16
strict,llama-3.1-8b,2000,graph,sql-t2s,255,27,29,14,185,-0.00784313725490196,0.017857142857142856,0.8936946693232326,1.0
strict,llama-3.1-8b,2000,graph-cypher,llm-only,255,16,90,26,123,-0.2901960784313725,50.27358490566038,1.3373767731115195e-12,1.3373767731115195e-11
strict,llama-3.1-8b,2000,graph-cypher,sql-fts,255,12,109,30,104,-0.3803921568627451,76.16528925619835,2.608874270045252e-18,2.608874270045252e-17
strict,llama-3.1-8b,2000,graph-cypher,sql-t2s,255,21,22,21,191,-0.003921568627450994,0.0,1.0,1.0
strict,llama-3.1-8b,2000,llm-only,sql-fts,255,29,52,87,87,-0.0901960784313725,5.9753086419753085,0.014507542249735631,0.1450754224973563
strict,llama-3.1-8b,2000,llm-only,sql-t2s,255,83,10,33,129,0.28627450980392155,55.74193548387097,8.263657423105735e-14,8.263657423105735e-13
strict,llama-3.1-8b,2000,sql-fts,sql-t2s,255,109,13,30,103,0.37647058823529406,73.97540983606558,7.909622289708061e-18,7.909622289708061e-17
strict,llama-3.1-8b,20000,graph,graph-cypher,160,9,5,4,142,0.025,5.0,0.4239501953125,1.0
strict,llama-3.1-8b,20000,graph,llm-only,160,6,50,7,97,-0.275,33.017857142857146,9.131629405642197e-09,9.131629405642197e-08
strict,llama-3.1-8b,20000,graph,sql-fts,160,6,64,7,83,-0.3625,46.41428571428571,9.571512576640875e-12,9.571512576640874e-11
strict,llama-3.1-8b,20000,graph,sql-t2s,160,8,11,5,136,-0.018750000000000003,8.0,0.6476058959960938,1.0
strict,llama-3.1-8b,20000,graph-cypher,llm-only,160,4,52,5,99,-0.3,39.44642857142857,3.3718385906510036e-10,3.3718385906510035e-09
strict,llama-3.1-8b,20000,graph-cypher,sql-fts,160,4,66,5,85,-0.38749999999999996,53.15714285714286,3.079037744278067e-13,3.079037744278067e-12
strict,llama-3.1-8b,20000,graph-cypher,sql-t2s,160,6,13,3,138,-0.043750000000000004,6.0,0.1670684814453125,1.0
strict,llama-3.1-8b,20000,llm-only,sql-fts,160,18,32,39,71,-0.08749999999999997,3.38,0.06599205505934759,0.6599205505934759
strict,llama-3.1-8b,20000,llm-only,sql-t2s,160,51,10,6,93,0.25625,26.229508196721312,3.0315461872625916e-07,3.0315461872625917e-06
strict,llama-3.1-8b,20000,sql-fts,sql-t2s,160,65,10,6,79,0.34375,38.88,4.506743501412223e-10,4.5067435014122235e-09
strict,qwen-2.5-72b,200,graph,graph-cypher,214,34,32,64,84,0.009345794392523366,0.015151515151515152,0.9020346492544503,1.0
strict,qwen-2.5-72b,200,graph,llm-only,214,30,41,68,75,-0.05140186915887851,1.408450704225352,0.23531375547707095,1.0
strict,qwen-2.5-72b,200,graph,sql-fts,214,36,34,62,82,0.009345794392523366,0.014285714285714285,0.9048611294504482,1.0
strict,qwen-2.5-72b,200,graph,sql-t2s,214,21,59,77,57,-0.1775700934579439,17.1125,3.522967343790285e-05,0.0003522967343790285
strict,qwen-2.5-72b,200,graph-cypher,llm-only,214,34,47,62,71,-0.060747663551401876,1.7777777777777777,0.18242243945173195,1.0
strict,qwen-2.5-72b,200,graph-cypher,sql-fts,214,44,44,52,74,0.0,0.011363636363636364,0.9151060344205056,1.0
strict,qwen-2.5-72b,200,graph-cypher,sql-t2s,214,18,58,78,60,-0.18691588785046725,20.013157894736842,7.691111175193009e-06,7.69111117519301e-05
strict,qwen-2.5-72b,200,llm-only,sql-fts,214,25,12,84,93,0.060747663551401876,3.891891891891892,0.04851973828025057,0.48519738280250574
strict,qwen-2.5-72b,200,llm-only,sql-t2s,214,29,56,80,49,-0.12616822429906538,7.952941176470588,0.0048009291548211964,0.048009291548211964
strict,qwen-2.5-72b,200,sql-fts,sql-t2s,214,22,62,74,56,-0.18691588785046725,18.107142857142858,2.088166301115137e-05,0.0002088166301115137
strict,qwen-2.5-72b,2000,graph,graph-cypher,227,41,35,78,73,0.026431718061673992,0.32894736842105265,0.566279574045329,1.0
strict,qwen-2.5-72b,2000,graph,llm-only,227,36,42,83,66,-0.026431718061673992,0.32051282051282054,0.5712996214994485,1.0
strict,qwen-2.5-72b,2000,graph,sql-fts,227,45,44,74,64,0.004405286343612258,0.0,1.0,1.0
strict,qwen-2.5-72b,2000,graph,sql-t2s,227,31,58,88,50,-0.11894273127753308,7.595505617977528,0.005851398303974313,0.058513983039743124
strict,qwen-2.5-72b,2000,graph-cypher,llm-only,227,36,48,77,66,-0.052863436123347984,1.4404761904761905,0.23006229802639314,1.0
strict,qwen-2.5-72b,2000,graph-cypher,sql-fts,227,44,49,69,65,-0.022026431718061734,0.17204301075268819,0.6783024655972323,1.0
strict,qwen-2.5-72b,2000,graph-cypher,sql-t2s,227,19,52,94,62,-0.14537444933920707,14.422535211267606,0.00014604415898387106,0.0014604415898387107
strict,qwen-2.5-72b,2000,llm-only,sql-fts,227,23,16,102,86,0.03083700440528625,0.9230769230769231,0.33666836761003605,1.0
strict,qwen-2.5-72b,2000,llm-only,sql-t2s,227,36,57,89,45,-0.09251101321585908,4.301075268817204,0.038088284206292115,0.38088284206292117
strict,qwen-2.5-72b,2000,sql-fts,sql-t2s,227,32,60,86,49,-0.12334801762114533,7.923913043478261,0.004878564475033638,0.04878564475033638
strict,qwen-2.5-72b,20000,graph,graph-cypher,145,33,17,42,53,0.11034482758620695,4.5,0.033894853524689315,0.33894853524689317
