model,type,system,judge
claude-haiku-4-5,cohort,graph,0.7735294117647059
claude-haiku-4-5,cohort,graph-cypher,0.7612359550561798
claude-haiku-4-5,cohort,llm-only,0.1
claude-haiku-4-5,cohort,sql-fts,0.014367816091954023
claude-haiku-4-5,cohort,sql-t2s,0.7742857142857142
claude-haiku-4-5,multi-hop,graph,0.8878787878787879
claude-haiku-4-5,multi-hop,graph-cypher,0.9310344827586207
claude-haiku-4-5,multi-hop,llm-only,0.3198757763975155
claude-haiku-4-5,multi-hop,sql-fts,0.29310344827586204
claude-haiku-4-5,multi-hop,sql-t2s,0.9415204678362573
claude-haiku-4-5,reasoning,graph,0.7345679012345679
claude-haiku-4-5,reasoning,graph-cypher,0.7824858757062146
claude-haiku-4-5,reasoning,llm-only,0.7587209302325582
claude-haiku-4-5,reasoning,sql-fts,0.7063953488372093
claude-haiku-4-5,reasoning,sql-t2s,0.7950310559006211
claude-haiku-4-5,simple-lookup,graph,0.81
claude-haiku-4-5,simple-lookup,graph-cypher,0.858139534883721
claude-haiku-4-5,simple-lookup,llm-only,0.7834394904458599
claude-haiku-4-5,simple-lookup,sql-fts,0.7638888888888888
claude-haiku-4-5,simple-lookup,sql-t2s,0.9069767441860465
claude-haiku-4-5,temporal,graph,0.7484076433121019
claude-haiku-4-5,temporal,graph-cypher,0.8154761904761905
claude-haiku-4-5,temporal,llm-only,0.7295081967213115
claude-haiku-4-5,temporal,sql-fts,0.36585365853658536
claude-haiku-4-5,temporal,sql-t2s,0.7974683544303798
claude-haiku-4-5,unanswerable,graph,0.66875
claude-haiku-4-5,unanswerable,graph-cypher,0.6790123456790124
claude-haiku-4-5,unanswerable,llm-only,0.7213114754098361
claude-haiku-4-5,unanswerable,sql-fts,0.7439024390243902
claude-haiku-4-5,unanswerable,sql-t2s,0.7302631578947368
llama-3.1-8b,cohort,graph,0.13953488372093023
llama-3.1-8b,cohort,graph-cypher,0.08139534883720931
llama-3.1-8b,cohort,sql-fts,0.4044943820224719
llama-3.1-8b,cohort,sql-t2s,0.10571428571428572
llama-3.1-8b,multi-hop,graph,0.10240963855421686
llama-3.1-8b,multi-hop,graph-cypher,0.06325301204819277
llama-3.1-8b,multi-hop,llm-only,0.47701149425287354
llama-3.1-8b,multi-hop,sql-fts,0.5520231213872833
llama-3.1-8b,multi-hop,sql-t2s,0.0847953216374269
llama-3.1-8b,reasoning,graph,0.16853932584269662
llama-3.1-8b,reasoning,graph-cypher,0.10115606936416185
llama-3.1-8b,reasoning,llm-only,0.55
llama-3.1-8b,reasoning,sql-fts,0.6944444444444444
llama-3.1-8b,reasoning,sql-t2s,0.12146892655367232
llama-3.1-8b,simple-lookup,graph,0.18316831683168316
llama-3.1-8b,simple-lookup,graph-cypher,0.2236180904522613
llama-3.1-8b,simple-lookup,llm-only,0.7857142857142857
llama-3.1-8b,simple-lookup,sql-fts,0.8434579439252337
llama-3.1-8b,simple-lookup,sql-t2s,0.2584541062801932
llama-3.1-8b,temporal,graph,0.147239263803681
llama-3.1-8b,temporal,graph-cypher,0.025974025974025976
llama-3.1-8b,temporal,llm-only,0.6480263157894737
llama-3.1-8b,temporal,sql-fts,0.6845238095238095
llama-3.1-8b,temporal,sql-t2s,0.11949685534591195
llama-3.1-8b,unanswerable,graph,0.2721518987341772
llama-3.1-8b,unanswerable,graph-cypher,0.4166666666666667
llama-3.1-8b,unanswerable,llm-only,0.5895522388059702
llama-3.1-8b,unanswerable,sql-fts,0.5714285714285714
llama-3.1-8b,unanswerable,sql-t2s,0.3227848101265823
qwen-2.5-72b,cohort,graph,0.7528089887640449
qwen-2.5-72b,cohort,graph-cypher,0.628125
qwen-2.5-72b,cohort,sql-fts,0.0847457627118644
qwen-2.5-72b,cohort,sql-t2s,0.7391304347826086
qwen-2.5-72b,multi-hop,graph,0.260233918128655
qwen-2.5-72b,multi-hop,graph-cypher,0.2222222222222222
qwen-2.5-72b,multi-hop,llm-only,0.4969512195121951
qwen-2.5-72b,multi-hop,sql-fts,0.5117647058823529
qwen-2.5-72b,multi-hop,sql-t2s,0.6595092024539877
qwen-2.5-72b,reasoning,graph,0.6938202247191011
qwen-2.5-72b,reasoning,graph-cypher,0.5625
qwen-2.5-72b,reasoning,llm-only,0.7426900584795322
qwen-2.5-72b,reasoning,sql-fts,0.7397660818713451
qwen-2.5-72b,reasoning,sql-t2s,0.7484662576687117
qwen-2.5-72b,simple-lookup,graph,0.7594339622641509
qwen-2.5-72b,simple-lookup,graph-cypher,0.8271276595744681
qwen-2.5-72b,simple-lookup,llm-only,0.7612903225806451
qwen-2.5-72b,simple-lookup,sql-fts,0.7238095238095238
qwen-2.5-72b,simple-lookup,sql-t2s,0.8762135922330098
qwen-2.5-72b,temporal,graph,0.5963855421686747
qwen-2.5-72b,temporal,graph-cypher,0.6923076923076923
qwen-2.5-72b,temporal,llm-only,0.5950704225352113
qwen-2.5-72b,temporal,sql-fts,0.4878048780487805
qwen-2.5-72b,temporal,sql-t2s,0.7329192546583851
qwen-2.5-72b,unanswerable,graph,0.7409638554216867
qwen-2.5-72b,unanswerable,graph-cypher,0.5666666666666667
qwen-2.5-72b,unanswerable,llm-only,0.5671641791044776
qwen-2.5-72b,unanswerable,sql-fts,0.5240963855421686
qwen-2.5-72b,unanswerable,sql-t2s,0.5866666666666667
