system,tier,n_questions,claude_mean,qwen_mean,llama_mean,chi2,p
graph,200,271,0.8025830258302583,0.6143911439114391,0.0959409594095941,305.24165554072096,5.219353064658259e-67
graph,2000,316,0.7753164556962026,0.6123417721518988,0.22151898734177214,214.5241545893716,2.6101875475043377e-47
graph,20000,295,0.7627118644067796,0.6932203389830508,0.1694915254237288,269.1157635467976,3.649677155921234e-59
graph-cypher,200,288,0.8159722222222222,0.5902777777777778,0.0920138888888889,315.904988123515,2.5240818045509854e-69
graph-cypher,2000,297,0.7946127946127947,0.5875420875420876,0.18686868686868688,243.03186274509807,1.6838427896295524e-53
graph-cypher,20000,260,0.825,0.6269230769230769,0.12115384615384615,275.9708994708997,1.1848969919601985e-60
llm-only,200,249,0.6947791164658634,0.6144578313253012,0.6124497991967871,12.472727272726997,0.0019569588138119956
llm-only,2000,259,0.6235521235521235,0.6621621621621622,0.6254826254826255,2.2401746724894007,0.3262512998153883
llm-only,20000,129,0.6201550387596899,0.6976744186046512,0.5581395348837209,12.905537459283321,0.0015761521826050447
sql-fts,200,311,0.5,0.48392282958199356,0.6688102893890675,43.09185441941088,4.3926106008347137e-10
sql-fts,2000,320,0.4328125,0.5046875,0.640625,67.33650793650813,2.388158165167192e-15
sql-fts,20000,319,0.4670846394984326,0.5626959247648903,0.5877742946708464,21.57876712328768,2.061722716207898e-05
sql-t2s,200,265,0.8924528301886793,0.7396226415094339,0.10943396226415095,351.3053735255568,5.188088877992017e-77
sql-t2s,2000,315,0.8095238095238095,0.7333333333333333,0.2015873015873016,305.8349282296648,3.879619631723428e-67
sql-t2s,20000,276,0.8260869565217391,0.7681159420289855,0.16847826086956522,289.5174193548385,1.355473962788121e-63
