model,tier,system,qid,type,judge,fuzzy,latency_ms,cost_usd,turns,gt_suspect,over_answered
claude-haiku-4-5,200,graph,TMP-17,temporal,0.5,0.5384615384615384,10420,0.0239492,3.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-17,temporal,0.0,0.3076923076923077,8325,0.03988125,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-17,temporal,1.0,0.46153846153846156,10328,0.017157800000000004,2.0,False,False
claude-haiku-4-5,200,graph,SL-19,simple-lookup,1.0,1.0,7044,0.026721599999999998,3.0,False,False
claude-haiku-4-5,200,sql-fts,SL-19,simple-lookup,1.0,1.0,2594,0.011291299999999999,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-19,simple-lookup,1.0,1.0,10305,0.02796365,3.0,False,False
claude-haiku-4-5,200,graph,RSN-62,reasoning,1.0,0.6086956521739131,47340,0.10044240000000002,13.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-62,reasoning,1.0,0.6086956521739131,8260,0.0151538,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-62,reasoning,1.0,0.7391304347826086,20762,0.03813565,5.0,False,False
claude-haiku-4-5,200,llm-only,RSN-62,reasoning,1.0,0.6086956521739131,7413,0.02000755,1.0,False,False
claude-haiku-4-5,200,graph,MH-82,multi-hop,1.0,0.0,14197,0.04254715,5.0,False,False
claude-haiku-4-5,200,sql-fts,MH-82,multi-hop,0.0,0.0,11568,0.0176713,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-82,multi-hop,1.0,1.0,14966,0.02971345,3.0,False,False
claude-haiku-4-5,200,graph,COH-14,cohort,1.0,1.0,12734,0.029052950000000004,3.0,False,False
claude-haiku-4-5,200,sql-fts,COH-14,cohort,0.0,0.0,8277,0.017057549999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-14,cohort,1.0,1.0,17479,0.03747965,4.0,False,False
claude-haiku-4-5,200,graph,TMP-65,temporal,1.0,1.0,5371,0.02116315,2.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-65,temporal,1.0,1.0,2802,0.0122463,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-65,temporal,1.0,1.0,7389,0.02016115,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-65,temporal,1.0,1.0,2759,0.0178088,1.0,False,False
claude-haiku-4-5,200,graph,SL-108,simple-lookup,1.0,1.0,7098,0.01997745,2.0,False,False
claude-haiku-4-5,200,sql-fts,SL-108,simple-lookup,1.0,1.0,3982,0.011428800000000001,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-108,simple-lookup,1.0,1.0,8354,0.02100795,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-108,simple-lookup,1.0,1.0,4031,0.0151113,1.0,False,False
claude-haiku-4-5,200,graph,RSN-4,reasoning,1.0,0.17647058823529413,18697,0.042103550000000003,6.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-4,reasoning,0.0,0.17647058823529413,5759,0.016250050000000002,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-4,reasoning,1.0,0.5882352941176471,24031,0.039950700000000006,7.0,False,False
claude-haiku-4-5,200,llm-only,RSN-4,reasoning,0.5,0.23529411764705882,5559,0.0234713,1.0,False,False
claude-haiku-4-5,200,graph,MH-4,multi-hop,1.0,1.0,38115,0.0886404,11.0,False,False
claude-haiku-4-5,200,sql-fts,MH-4,multi-hop,1.0,1.0,8870,0.01618755,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-4,multi-hop,1.0,1.0,13218,0.04248785,5.0,False,False
claude-haiku-4-5,200,llm-only,MH-4,multi-hop,1.0,1.0,7428,0.02198505,1.0,False,False
claude-haiku-4-5,200,graph,COH-1,cohort,1.0,1.0,5930,0.01879765,2.0,False,False
claude-haiku-4-5,200,sql-fts,COH-1,cohort,0.0,0.0,10760,0.016881300000000002,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-1,cohort,1.0,1.0,8259,0.0212494,2.0,False,False
claude-haiku-4-5,200,graph,UNA-13,unanswerable,1.0,0.0,8165,0.039073449999999996,3.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-13,unanswerable,1.0,1.0,3839,0.010032550000000001,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-13,unanswerable,1.0,1.0,20494,0.05061115000000001,6.0,False,False
claude-haiku-4-5,200,llm-only,UNA-13,unanswerable,1.0,0.0,3977,0.010687549999999999,1.0,False,False
claude-haiku-4-5,200,graph,TMP-1,temporal,0.5,0.7272727272727273,9945,0.034560350000000004,4.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-1,temporal,0.0,0.36363636363636365,12028,0.0143588,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-1,temporal,1.0,0.7272727272727273,12746,0.022848850000000004,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-1,temporal,1.0,0.7272727272727273,4466,0.019361299999999998,1.0,False,False
claude-haiku-4-5,200,graph,SL-188,simple-lookup,1.0,0.8,20540,0.05023475000000001,6.0,False,False
claude-haiku-4-5,200,sql-fts,SL-188,simple-lookup,1.0,0.7,4937,0.01245255,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-188,simple-lookup,1.0,0.7,5617,0.019789100000000004,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-188,simple-lookup,1.0,0.8,4294,0.01550505,1.0,False,False
claude-haiku-4-5,200,graph,RSN-101,reasoning,1.0,0.8571428571428571,30328,0.06613015,7.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-101,reasoning,1.0,0.7142857142857143,13651,0.014143800000000002,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-101,reasoning,1.0,0.7142857142857143,28206,0.04122815,7.0,False,False
claude-haiku-4-5,200,llm-only,RSN-101,reasoning,1.0,0.7142857142857143,18829,0.0195213,1.0,False,False
claude-haiku-4-5,200,graph,MH-48,multi-hop,1.0,1.0,34238,0.0878363,11.0,False,False
claude-haiku-4-5,200,sql-fts,MH-48,multi-hop,0.0,0.0,8662,0.01455505,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-48,multi-hop,1.0,1.0,134622,0.0354531,4.0,False,False
claude-haiku-4-5,200,llm-only,MH-48,multi-hop,0.0,0.0,6592,0.0161088,1.0,False,False
claude-haiku-4-5,200,graph,COH-38,cohort,1.0,1.0,8648,0.02066765,2.0,False,False
claude-haiku-4-5,200,sql-fts,COH-38,cohort,0.0,0.0,4319,0.0151163,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-38,cohort,0.5,0.8000000000000002,8321,0.021043150000000004,2.0,False,False
claude-haiku-4-5,200,graph,UNA-6,unanswerable,0.0,1.0,30634,0.05779595,6.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-6,unanswerable,1.0,1.0,3159,0.011250050000000001,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-6,unanswerable,0.5,0.5,22794,0.0557459,6.0,False,False
claude-haiku-4-5,200,llm-only,UNA-6,unanswerable,1.0,1.0,4008,0.01443255,1.0,False,False
claude-haiku-4-5,200,graph,TMP-57,temporal,0.5,0.8461538461538461,12934,0.0301452,4.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-57,temporal,0.0,0.5384615384615384,5657,0.013960049999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-57,temporal,0.5,0.7692307692307693,9408,0.022522300000000002,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-57,temporal,0.5,0.6923076923076923,4414,0.01903755,1.0,False,False
claude-haiku-4-5,200,graph,SL-4,simple-lookup,1.0,1.0,9013,0.03527555,4.0,False,False
claude-haiku-4-5,200,sql-fts,SL-4,simple-lookup,1.0,1.0,3511,0.0191988,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-4,simple-lookup,1.0,1.0,6120,0.020938150000000003,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-4,simple-lookup,1.0,1.0,3026,0.02505755,1.0,False,False
claude-haiku-4-5,200,graph,RSN-43,reasoning,0.5,0.75,36218,0.0703328,8.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-43,reasoning,0.5,0.25,11978,0.01755505,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-43,reasoning,1.0,1.0,70550,0.13811145,15.0,False,False
claude-haiku-4-5,200,llm-only,RSN-43,reasoning,0.5,0.5,14784,0.023098800000000003,1.0,False,False
claude-haiku-4-5,200,graph,MH-114,multi-hop,1.0,0.5,8294,0.033448149999999996,2.0,False,False
claude-haiku-4-5,200,sql-fts,MH-114,multi-hop,0.0,0.0,7759,0.0115563,1.0,False,False
